ID,midterm,final,hw1,hw2,address
19892523,45,78,10,1,Paris
19892543,43,70,10,1,Paris
19892554,59,78,10,10,Paris
19900498,95,64,10,10,Paris
19903025,47,51,9,10,Seoul
19903044,78,92,8,10,Seoul
19903049,40,64,8,9,Paris
19903052,13,23,5,9,Seoul
19903073,49,48,6,10,Paris
19903074,85,97,10,10,Paris
19903090,95,58,9,10,Paris
19903093,97,86,3,10,Seoul
19903095,91,65,10,10,New York
19903107,100,88,7,9,Paris
19903110,69,77,10,8,New York
19903118,100,97,9,10,Paris
19903125,81,85,6,10,Seoul
19903126,46,38,5,10,Seoul
19903129,89,84,10,10,Paris
19903166,54,80,5,10,Seoul
19903168,34,70,6,8,Seoul
19907321,42,47,10,3,Seoul
19907322,32,47,10,3,Seoul
19907323,42,46,10,3,New York
19907326,41,45,10,3,New York
19907333,36,63,10,4,Paris
19913021,83,69,4,7,Paris
19960176,26,75,6,10,Seoul
19960411,73,56,7,10,Seoul
19962544,100,82,10,10,Paris
19962805,0,0,0,0,Paris
19963092,95,82,10,10,Paris
19963116,28,9,0,1,Paris
19963144,69,64,0,10,Paris
19963166,84,89,10,10,Paris
19970711,91,48,9,10,Seoul
19971585,71,81,7,9,New York
19971649,0,32,2,0,Paris
19971690,0,9,0,0,Seoul
19971692,20,22,10,8,New York
19971693,87,52,9,0,Paris
19971702,100,73,7,10,Paris
19971714,14,15,10,10,New York
19972273,32,58,2,10,Paris
19972614,94,79,9,9,Paris
19973386,75,65,10,10,Seoul
19980114,36,55,10,2,Seoul
19981383,94,85,8,10,Seoul
19981582,58,61,0,10,Paris
19981587,26,0,2,0,Seoul
19981592,80,67,9,10,Paris
19981603,88,85,9,10,Seoul
19981604,100,82,10,10,Seoul
19981605,91,67,10,10,Seoul
19981612,100,94,8,10,New York
19981628,90,91,9,10,New York
19981629,61,80,8,10,Paris
19981631,100,77,8,10,Paris
19981635,78,46,6,10,Paris
19981642,85,50,8,10,Paris
19981643,97,71,8,9,Seoul
19981644,64,64,9,10,Seoul
19981650,71,57,8,10,Seoul
19981657,95,94,5,9,Paris
19981669,54,52,6,0,Paris
19981675,100,96,10,10,Seoul
19981684,48,69,8,9,Seoul
19981699,85,92,8,9,Seoul
19982245,31,53,10,10,New York
19982335,1,16,0,0,New York
19985286,79,85,10,10,Paris
19985287,57,50,8,10,Paris
19985291,31,21,5,10,Paris
19990283,43,0,2,0,Seoul
19991615,37,65,3,7,Paris
19991645,60,62,4,8,Seoul
19995301,81,68,10,10,Seoul
19995302,16,54,7,0,Paris
