ID,midterm,final,hw1
19887314,29,64,10
19887340,26,71,0
19887341,44,70,10
19887349,34,50,10
19887353,69,60,10
19887361,23,63,10
19887378,55,61,10
19887382,75,80,10
19892505,75,74,10
19892507,56,50,10
19892514,64,70,10
19892523,42,78,10
19892531,60,72,10
19892533,40,70,10
19892534,56,78,10
19892543,40,70,10
19892554,56,78,10
19900498,91,64,10
19903025,44,51,9
19903044,75,92,8
19903049,37,64,8
19903052,10,23,5
19903073,46,48,6
19903074,82,97,10
19903090,92,58,9
19903093,94,86,3
19903095,88,65,10
19903107,95,88,7
19903110,66,77,10
19903118,95,97,9
19903125,78,85,6
19903126,43,38,5
19903129,86,84,10
19903166,51,80,5
19903168,31,70,6
19907321,39,47,10
19907322,29,47,10
19907323,39,46,10
19907326,39,47,10
19907333,38,45,10
19907356,33,63,10
19913021,33,63,10
19927309,49,60,10
19927376,80,69,4
19932603,46,65,10
19932605,21,70,10
19932610,32,60,10
19932616,29,39,10
19932625,42,55,10
19960176,44,64,10
19960411,50,51,10
19962544,23,75,6
19962805,70,56,7
19963092,95,82,10
19963144,92,82,10
19963166,25,9,0
19970711,66,64,0
19971585,81,89,10
19971649,88,48,9
19971690,68,81,7
19971692,5,32,2
19971693,8,9,1
19971702,17,22,10
19971714,84,52,9
19972273,95,73,7
19972614,11,15,10
19973386,29,58,2
19980114,90,79,9
19981383,72,65,10
19981582,33,55,10
19981587,33,55,10
19981592,91,85,8
19981603,55,61,0
19981604,23,0,2
19981605,77,67,9
19981612,85,85,9
19981628,96,82,10
19981629,89,67,10
19981631,97,94,8
19981635,87,91,9
19981642,58,80,8
19981643,97,77,8
19981644,75,46,6
19981650,82,50,8
19981657,94,71,8
19981669,61,64,9
19981675,68,57,8
19981684,93,94,5
19981699,51,52,6
19982245,99,96,10
19982335,45,69,8
19985286,82,92,8
19985287,28,53,10
19985291,3,16,0
19990283,76,85,10
19991615,54,50,8
19991645,28,21,5
19995301,40,0,2
19995302,34,65,3
